job_name,work_demand,company_locale,company_name,guimo,job_salary,job_salary<=15K,demand
数据分析师,"数据分析,数据挖掘,Python,BI,SPSS",北京,撼动科技,100-299人,12.5,TRUE,本科
数据分析师,"数据分析,Python,Tableau",北京,江融信,100-299人,16,FALSE,本科
数据分析师,数据分析,北京,经国资本管理集团有限公司,500-999人,15,TRUE,大专
数据分析师,"数据分析,数据清洗,SPSS,SQL",北京,便利蜂商贸有限公司,1000-9999人,30,FALSE,本科
数据分析师,数据分析,北京,隆安晟世(北京)科技集团有限公司,300-499人,10,TRUE,本科
数据分析师,需求分析,北京,SMC（中国）有限公司,1000-9999人,11.5,TRUE,本科
数据分析师,"数据建模,数据分析,大数据分析,SQL Server,数据清洗",北京,凯胜汽车租赁(北京)有限公司,20-99人,6,TRUE,大专
数据分析师,"SQL,Python,数据分析,业务运营",北京,易才集团,1000-9999人,13.5,TRUE,本科
数据分析师,"数据分析,数据建模,模型设计,直播数据,粉丝画像",北京,完美家族(北京)文化传媒有限责任公司,100-299人,12.5,TRUE,本科
数据分析师,"数据分析,Python,MATLAB,C++",北京,赛思天成,20-99人,9,TRUE,大专
数据分析师,数据分析,北京,经国资本管理集团有限公司,500-999人,15,TRUE,大专
数据分析师,"数据分析,MySQL,商业数据分析,SQL Server,Power BI",北京,深圳市尚鼎咨询管理有限公司,20人以下,8.5,TRUE,本科
数据分析师,"数据分析,销售业务数据",北京,北京美立刻医疗器械有限公司,300-499人,20,FALSE,本科
数据分析师,"数据挖掘,Python,R语言,数据建模",北京,美林数据技术股份有限公司,500-999人,15,TRUE,硕士
数据分析师,"数据分析,数据挖掘,模型设计,神经网络,行业分析",北京,北京京创曙光科技有限公司,20-99人,15,TRUE,本科
数据分析师,数据分析,北京,CBC(北京)信用管理有限公司,1000-9999人,12.5,TRUE,硕士
数据分析师,"数据分析,数据清洗,需求分析",北京,北京腾信睿德科技发展有限公司,20-99人,6,TRUE,大专
数据分析师,"数据分析,SPSS,数据挖掘",北京,北京师范大学中国基础教育质量监测协同创新中心,100-299人,9,TRUE,硕士
数据分析师,"数据分析,销售业务数据",北京,北京美立刻医疗器械有限公司,300-499人,20,FALSE,本科
数据分析师,数据挖掘,北京,爱奇艺（www.iqiyi.com）,1000-9999人,30,FALSE,本科
数据分析师,"统计学,数据分析,销售业务数据",北京,360同城帮,300-499人,11.5,TRUE,本科
数据分析师,"Python,国网经验",北京,北京鑫富通科技有限公司,20-99人,17.5,FALSE,本科
数据分析师,数据分析,北京,北京当代金融培训有限公司,500-999人,20,FALSE,本科
数据分析师,数据挖掘,北京,中福彩科技发展(北京)有限公司,20-99人,25,FALSE,本科
数据分析师,"商业分析,数据挖掘,SQL,Python,数据建模",北京,北京壹壹壹商业连锁有限公司,500-999人,22.5,FALSE,本科
数据分析师,"风险控制,金融,数据分析,数据建模,Python",北京,福建品尚征信有限公司,20-99人,12.5,TRUE,本科
数据分析师,"数据分析,销售业务数据",北京,同方股份有限公司,10000人以上,10.5,TRUE,本科
数据分析师,"数据分析,Python,SQL,大数据分析,爬虫",北京,北京当代金融培训有限公司,500-999人,5,TRUE,本科
数据分析师,需求分析,北京,交通运输通信信息集团有限公司,100-299人,17.5,FALSE,本科
数据分析师,"SQL,行业分析,数据采集",北京,北京智通博瑞科技发展有限公司,20-99人,8,TRUE,本科
Hadoop开发工程师,"SQL,数据建模,数据处理,数据挖掘,Python",北京,北京博乐科技有限公司,500-999人,17.5,FALSE,本科
数据分析师,"数据分析,SQL",北京,中创软件,1000-9999人,12.5,TRUE,本科
数据分析师,数据分析,北京,上海克而瑞信息技术有限公司,1000-9999人,12.5,TRUE,本科
数据分析师,"数据分析,Python,R语言",北京,中关村科技软件股份有限公司,100-299人,25,FALSE,本科
数据分析师,"商业分析,数据建模,数据采集,行业分析",北京,神策数据,100-299人,15,TRUE,本科
数据分析师,"数据分析,SQL,Python",北京,点米(北京)科技有限公司,500-999人,22.5,FALSE,本科
数据分析师,"Hive,SQL,SPSS",北京,汽车之家,1000-9999人,30,FALSE,本科
数据分析师,"SQL,数据分析,SAS",北京,深圳索信达数据技术有限公司,500-999人,12.5,TRUE,本科
数据分析师,数据采集,北京,北京嘉和美康信息技术有限公司,1000-9999人,7,TRUE,本科
数据分析师,"数据分析,数据挖掘,数据建模,机器学习,数据采集",北京,北京正则阳光文化传播有限公司,20-99人,5.5,TRUE,中专/中技
数据分析师,数据分析,北京,北京神州汽车租赁有限公司,10000人以上,47.5,FALSE,本科
数据分析师,BI,北京,北京互连众信科技有限公司,1000-9999人,16,FALSE,本科
数据分析师,"数据分析,数据挖掘,数据建模,Python,SQL",北京,高途课堂,1000-9999人,25,FALSE,本科
数据分析师,"R语言,数据建模",北京,英视睿达,300-499人,12.5,TRUE,本科
数据分析师,数据分析,北京,北京壳木软件有限责任公司,300-499人,37.5,FALSE,硕士
数据分析师,行业经验,北京,上海中智人才顾问咨询有限公司,20-99人,12.5,TRUE,本科
数据分析师,"数据分析,销售业务数据,统计学",北京,北京五八信息技术有限公司,10000人以上,10,TRUE,本科
数据分析师,"数据分析,需求分析,行业分析",北京,北京一维大成科技有限公司,100-299人,15,TRUE,本科
数据分析师,数据建模,北京,北京赛普力量教育科技有限公司,100-299人,22.5,FALSE,本科
数据分析师,"数据分析,Hive,SQL,Python",北京,智联招聘,1000-9999人,32.5,FALSE,本科
数据分析师,"风险控制,数据分析",北京,经国资本管理集团有限公司,500-999人,25,FALSE,本科
数据分析师,"数据采集,数据挖掘",北京,北京南天软件有限公司,1000-9999人,10.5,TRUE,本科
数据分析师,"数据挖掘,数据采集,需求分析",北京,深圳市中电合信科技股份有限公司,20-99人,9,TRUE,本科
数据分析师,数据分析,北京,中国人民解放军军事科学院军事科学信息研究中心,100-299人,17.5,FALSE,硕士
数据分析师,数据分析,北京,经国资本管理集团有限公司,500-999人,12.5,TRUE,大专
数据分析师,"数据挖掘,数据分析,Python",北京,美林数据技术股份有限公司,500-999人,14.5,TRUE,硕士
数据分析师,"SQL,商业数据分析",北京,嘉驰国际,1000-9999人,27.5,FALSE,硕士
