id,job_name,work_demand,company_locale,company_name,guimo,job_salary,job_salary_fif,demand
162,Hadoop开发工程师,"Hbase,Hadoop,Spark",北京,北京十荟科技有限公司,1000-9999人,30,FALSE,本科
163,其他职业,"大数据分析,数据处理,数据清洗,架构设计,数据架构",北京,北京合众思壮时空物联科技有限公司,100-299人,21.5,FALSE,本科
164,Hadoop开发工程师,大数据,北京,北京独创时代科技有限公司,100-299人,12.5,TRUE,本科
165,Hadoop开发工程师,"Linux,CDH,Hadoop,Shell",北京,北京易博中天科技有限公司,20-99人,17.5,FALSE,本科
166,Hadoop开发工程师,"Hadoop,Hive,Spark",北京,神州信息,10000人以上,14,TRUE,本科
167,Hadoop开发工程师,"Python,SQL",北京,中建材信息技术股份有限公司,500-999人,37.5,FALSE,本科
168,Hadoop开发工程师,"数据库开发,Hadoop",北京,北京博实乐国际教育咨询有限公司,1000-9999人,22.5,FALSE,大专
169,Hadoop开发工程师,"SPARK,FLINK CORE",北京,北京百米互联科技有限公司,100-299人,25,FALSE,本科
170,数据分析师,数据仓库,北京,汽车之家,1000-9999人,25,FALSE,本科
171,Hadoop开发工程师,"数据仓库,数据架构,大数据开发,数据集市,数据库架构",北京,智联猎头,1000-9999人,22.5,FALSE,本科
172,Hadoop开发工程师,"大数据开发,Hive,Spark,Flink",北京,北京商海文天科技发展有限公司,100-299人,22.5,FALSE,本科
173,Hadoop开发工程师,"ETL,数据仓库,SQL,数据库,Oracle",北京,中电金信软件有限公司,10000人以上,15,TRUE,本科
174,Hadoop开发工程师,"Solr,Java,Scala,Shell,Hbase",北京,深圳新河通创科技有限公司,500-999人,17.5,FALSE,大专
175,Hadoop开发工程师,"MySQL,大数据分析,Spark,大数据开发,PostgreSQL",北京,北京世纪高通科技有限公司,300-499人,16.5,FALSE,本科
176,数据分析师,大数据开发,北京,北京鼎勤兴业科技有限公司,20-99人,17.5,FALSE,本科
177,Hadoop开发工程师,"Hadoop,数据仓库,Python,MySQL,Linux",北京,中软联动公司,100-299人,14.5,TRUE,大专
178,Hadoop开发工程师,"ETL,Hive,SQL,银行,Java",北京,北京永生鼎立信息技术有限公司,100-299人,12.5,TRUE,本科
179,Hadoop开发工程师,"Hadoop,SQL,Hive,Hbase,Spark",北京,天阳宏业科技股份有限公司,1000-9999人,15,TRUE,本科
180,Hadoop开发工程师,"数据仓库,数据库开发,数据库,数据架构,Hadoop",北京,法意科技,300-499人,21.5,FALSE,本科
181,Hadoop开发工程师,"数据库,数据库开发,数据挖掘,大数据开发",北京,网联客(北京)数字科技有限公司,100-299人,20,FALSE,本科
182,Hadoop开发工程师,"Hadoop,MySQL,Oracle,Spark,Hive",北京,航天新商务信息科技有限公司,20-99人,20,FALSE,本科
183,Hadoop开发工程师,Hadoop,北京,北京翔云在线数据技术有限公司,20-99人,15.5,FALSE,本科
184,Hadoop开发工程师,"Spark,Hadoop,Hive,Hbase,MapReduce",北京,北京博通睿创信息技术有限公司,20-99人,20,FALSE,本科
185,Hadoop开发工程师,"数据仓库,Hadoop,Spark",北京,京东商城总部,10000人以上,37.5,FALSE,硕士
186,Hadoop开发工程师,数据仓库,北京,百度,10000人以上,40,FALSE,本科
187,Hadoop开发工程师,"数据库,数据挖掘,数据处理,数据建模,大数据开发",北京,中电太极,1000-9999人,22.5,FALSE,本科
188,Hadoop开发工程师,大数据开发,北京,青岛华迪科技有限公司,20-99人,18,FALSE,本科
189,Hadoop开发工程师,"数据处理,Linux,HADOOP生态圈技术,MapReduce,Hive",北京,中远海运科技(北京)有限公司,100-299人,22.5,FALSE,本科
190,Hadoop开发工程师,"数据仓库,Hadoop,数据处理,大数据开发,Spark",北京,南京橡东信息科技有限公司,100-299人,12.5,TRUE,大专
191,Hadoop开发工程师,Hive,北京,华农保险,500-999人,21,FALSE,本科
192,Hadoop开发工程师,"大数据开发,Flink,Kafka,Hadoop,Hive",北京,泰康保险集团,10000人以上,22.5,FALSE,本科
193,Hadoop开发工程师,"Hadoop,MapReduce,Spark,Hive,Kafka",北京,软通动力信息技术(集团)股份有限公司,10000人以上,25,FALSE,本科
194,Hadoop开发工程师,"Hadoop,Flink,MySQL,Java,数据处理",北京,北京神州同道智能信息技术有限公司,100-299人,30,FALSE,本科
195,Hadoop开发工程师,"Spark,Hadoop,Flink,数据仓库,大数据平台",北京,广州市品高软件股份有限公司,500-999人,13,TRUE,本科
196,Hadoop开发工程师,"Hadoop,Spark,Hive,Flink",北京,深圳市华云中盛科技股份有限公司,500-999人,17.5,FALSE,本科
197,Hadoop开发工程师,"数据仓库,Hadoop,Hive,Spark,Oracle",北京,软通动力信息技术(集团)股份有限公司,10000人以上,17.5,FALSE,本科
198,Hadoop开发工程师,"SQL,Hadoop,Hive,Spark,Hbase",北京,亿海蓝(北京)数据技术股份公司,100-299人,15,TRUE,本科
199,Hadoop开发工程师,大数据开发,北京,北京永生鼎立信息技术有限公司,100-299人,12.5,TRUE,本科
200,Hadoop开发工程师,"大数据开发,Spark,Hive,Hbase,Hadoop",北京,北京博之华广告有限公司,20人以下,17.5,FALSE,本科
201,Hadoop开发工程师,"Hadoop,Spark,Flink,大数据平台,Scala",北京,北京睿帆知数科技有限公司,20-99人,27.5,FALSE,本科
202,Hadoop开发工程师,"Python,MySQL,Kafka,Java,大数据开发",北京,北京行展软件科技有限公司,20-99人,13,TRUE,大专
203,Hadoop开发工程师,"Kafka,大数据开发,架构设计,Hadoop,Spark",北京,北京六分科技有限公司,100-299人,22.5,FALSE,本科
204,Hadoop开发工程师,"Hadoop,Hive,大数据平台,SparkSQL,大数据开发",北京,北京紫光数智科技股份有限公司,100-299人,14,TRUE,本科
205,Hadoop开发工程师,"Java,Scala,MySQL",北京,普联软件股份有限公司,1000-9999人,22.5,FALSE,本科
